city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Foso,GH,5.7,-1.29,20078,False,61,58,58.8,1.2,28.4,0.0,0.0,22.400000000000002,62.8,2.0,29.2,0.0,0.0,35.199999999999996
Dārān,IR,32.99,50.41,20078,False,41,39,33.2,85.6,42.8,0.0,0.0,31.2,33.2,87.6,41.6,0.0,0.0,56.39999999999999
Coconut Grove,US,25.71,-80.26,20076,False,66,59,42.8,0.0,15.6,30.0,25.6,24.0,52.800000000000004,0.0,16.8,30.4,25.6,40.8
West Mifflin,US,40.36,-79.87,20075,False,75,60,32.800000000000004,0.0,2.8000000000000003,0.0,30.8,33.6,34.8,0.0,2.8000000000000003,0.0,30.8,60.4
Shilongba,CN,26.58,101.36,20074,False,63,57,8.799999999999999,48.4,46.800000000000004,0.0,36.0,30.8,12.8,51.6,49.6,0.0,36.0,54.800000000000004
Naranjos,MX,21.35,-97.69,20073,False,61,50,59.199999999999996,0.4,25.6,0.0,0.0,22.8,74.0,5.6000000000000005,30.4,0.0,0.0,42.0
Haddington,US,39.97,-75.24,20073,False,63,56,29.599999999999998,0.0,0.0,36.0,47.599999999999994,34.4,32.4,0.0,0.0,36.8,47.599999999999994,58.8
Pouchtchino,RU,54.83,37.61,20072,False,68,54,34.8,2.4,8.799999999999999,0.0,29.2,45.2,32.0,6.4,9.2,0.0,29.2,70.39999999999999
Pulwama,IN,33.87,74.9,20071,False,73,69,20.0,0.0,15.2,0.0,38.0,23.599999999999998,18.0,0.0,14.799999999999999,0.0,38.0,44.800000000000004
Târgu Secuiesc,RO,46.0,26.13,20067,False,73,58,32.800000000000004,18.0,11.200000000000001,0.0,0.0,37.2,30.4,27.200000000000003,16.0,0.0,0.0,62.4
Sirumugai,IN,11.32,77.0,20066,False,44,42,62.8,63.2,75.6,0.0,0.0,14.399999999999999,68.0,64.0,76.0,0.0,0.0,30.4
Lyman,UA,48.99,37.81,20066,False,63,47,31.2,37.6,34.0,0.0,44.800000000000004,43.6,30.8,43.2,40.8,0.0,44.800000000000004,70.0
Zhosaly,KZ,45.49,64.08,20065,False,28,26,48.4,96.8,16.8,0.0,78.4,36.0,50.4,97.6,16.400000000000002,0.0,78.4,58.8
El Pedregal,PE,-16.36,-72.19,20063,False,39,38,1.6,100.0,0.0,0.0,0.0,22.8,2.4,100.0,0.0,0.0,0.0,44.0
Emirdağ,TR,39.02,31.15,20063,False,62,57,24.4,48.4,52.400000000000006,0.0,0.0,31.6,23.200000000000003,54.0,57.199999999999996,0.0,0.0,55.60000000000001
Croulebarbe,FR,48.81,2.35,20062,False,67,65,10.8,30.4,25.6,0.0,45.6,23.200000000000003,10.4,35.6,32.800000000000004,0.0,45.6,44.800000000000004
Schroeder,BR,-26.41,-49.07,20061,False,88,78,12.4,0.0,0.0,0.0,0.0,18.8,16.400000000000002,0.0,0.0,0.0,0.0,36.0
Lucélia,BR,-21.72,-51.02,20061,False,74,64,29.2,15.6,34.4,0.0,0.0,30.8,38.4,17.2,37.6,0.0,0.0,50.4
